BoardGameRank,2018-10-06,2018-10-13,2018-10-20,2018-10-27,2018-11-03,2018-11-09,2018-11-17,2018-11-24,2018-12-01,2018-12-08,2018-12-15,2018-12-22,2018-12-29,2019-01-05,2019-01-12,2019-01-19,2019-01-26,2019-02-02,2019-02-09,2019-02-16,2019-02-23,2019-03-02,2019-03-09,2019-03-16,2019-03-23,2019-03-30,2019-04-06,2019-04-13,2019-04-20,2019-04-27,2019-05-04,2019-05-11,2019-05-18,2019-05-25,2019-06-01,2019-06-08,2019-06-15,2019-06-22,2019-06-29,2019-07-06,2019-07-13,2019-07-20,2019-07-27,2019-08-03,2019-08-10,2019-08-17,2019-08-24,2019-08-31,2019-09-07,2019-09-14,2019-09-21,2019-09-28,2019-10-05,2019-10-12,2019-10-19,2019-10-26,2019-11-02,2019-11-09,2019-11-16,2019-11-23,2019-11-30,2019-12-07,2019-12-14,2019-12-21,2019-12-28,2020-01-04,2020-01-11,2020-01-18,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22
2432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,25584,1917,266083,155,42743,1917,218129,205907,218129,218129,24070,30356,8829,8829,4370,28025,101020,10081,228668,129320,137397,155173,156266,25674,1561,329,103132,84469,35342,4616,191925,10788,10788,2795,1597,15033,122889,175695,179071,190400,260300,177079,234931,143096,177079,143096,143096,143096,114387,21641,177965,3409,37231,172546,253499,228668,192834,38872,149853,206490,218129,260757,141791,19948,827,177249,3267,41569,1265,277699,270847,147,172155,265256,176565,17449,245353,17449,40770,274093,181761,692,192638,156442,276925,8490,274093,228133,134520
2430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218050,1917,159469,161547,68247,213492,159469,246297,32014,8829,1645,179245,130899,161546,165662,74390,22278,165662,6366,231999,1017,256874,192947,228668,117914,149119,156266,33003,231038,266164,129122,5942,190639,174155,179071,15033,175695,30,34320,276830,108044,56707,464,36367,36367,177197,177079,36367,79073,177197,192834,6613,220367,192834,96713,32165,35614,35614,127493,38872,133956,224316,266967,168433,19996,58,58,220588,293889,220588,635,299317,40831,4583,208775,140951,264239,184346,180901,16,3139,249763,156442,241477,20545,246297,118610,3967,184346,232824
2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21380,274364,171835,135654,160418,68247,257283,179245,20609,213492,30356,213492,10819,156373,161546,169274,228668,115293,444,5795,155173,329,200,329,228668,174614,148532,231038,38032,143096,257066,2795,131118,139245,65673,212346,1597,246201,20022,108044,93538,76674,56707,265683,173047,232524,234931,232524,231999,177079,2238,21641,44,2238,152237,284775,38872,228668,35614,257,208775,181260,223779,127493,278553,5205,827,7806,117942,159469,184346,159469,63091,147,14808,245353,245353,17449,71655,177939,4174,96792,274093,156442,276925,6050,156442,24762,175360,228133
2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136440,159469,161547,218050,142325,200456,338,160418,173341,32014,13883,159469,159469,189848,247104,165662,156180,140863,38032,329,5795,200,160968,68858,192947,25674,196354,192947,192947,192947,237211,167698,139245,274638,212346,39813,252399,175695,190400,225729,20022,108044,143096,79073,79073,143096,56707,253398,268620,19854,177079,177197,138788,3605,284775,172546,3263,38872,192834,208775,149853,269603,127095,420,210900,210900,5205,8124,7806,23604,56786,433,265256,267378,147537,155451,30539,287589,30539,274093,20545,299252,20545,692,36888,141090,84465,184346,3967,270138
2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53168,142325,142325,1917,21892,29773,68247,29773,179245,205907,205907,147116,206327,207062,189848,156180,169274,380,231999,19679,228668,152899,228668,200,156266,68858,20806,156266,149119,148532,154173,259081,129122,131118,190639,422,222219,56707,24920,2795,271319,39813,269199,163640,78954,173047,177197,3234,3234,79073,299047,127493,177197,44,2238,96713,32165,142854,142854,140519,38872,178944,127493,155708,127493,24509,206490,58,220588,815,159469,18460,1758,265256,155451,180901,176565,276925,2516,180901,40770,274093,192638,276925,692,266964,208775,6050,8490,175360
2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34599,30662,204837,171835,31133,160418,178613,85,1430,25071,160418,269511,179245,184522,207062,161546,131891,156180,159469,6366,139562,155173,329,155173,329,156266,41490,38032,103132,103132,68228,196354,4616,190639,105624,65673,174155,1597,15033,1597,3655,20022,148532,78954,234931,78954,173047,177197,177197,173047,12681,2238,114387,282414,192834,152237,2238,32165,32165,35614,228668,192834,224316,299169,168433,127095,24509,184346,8124,253398,270847,18985,18460,18460,310873,19301,265256,19301,264239,71655,180901,20545,15369,8924,208775,230200,6050,118610,24762,3967
2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255615,200456,135654,225167,192547,255675,252877,1430,4090,148729,25234,160418,24070,228668,228668,228668,130899,130899,115293,10081,329,9,137397,175360,8829,329,117914,117914,196354,84469,97357,143096,5942,143096,148532,139245,102148,15033,102148,20022,2795,93538,76674,173047,218129,79073,36367,84838,127493,143096,177197,177079,97915,3409,35285,35285,192834,3263,228668,132428,181260,127493,190400,127095,260180,69601,39242,33107,815,135243,193210,108722,226519,1758,39336,30539,147537,20545,318983,264239,276925,177939,208775,208775,8924,692,276925,8490,58602,184346
2438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31503,33643,243430,25584,161547,31133,213492,9408,1917,20609,128664,95234,160418,128664,175360,8829,74390,38032,165662,115293,10081,160968,152899,205127,68858,117914,107190,25674,33003,38032,280453,129122,2795,129122,79131,105624,148532,148532,56707,177079,225729,269199,39813,56707,232524,56707,79073,56707,36367,3234,140125,12681,21641,138788,37231,2238,162559,2238,3263,142854,257,257,133956,178944,24509,11949,137776,206490,3267,277699,1758,287938,159469,277699,147,177939,19301,265256,245353,17449,249763,264239,276925,202288,294514,36888,141090,20545,6050,8490
2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200456,21380,149787,200456,173294,21892,42743,270673,12346,179245,32014,128664,1645,130899,124847,6366,34127,142830,437,444,159469,159469,9,137397,137397,192947,231038,329,268201,33003,191925,270138,207729,4616,270138,270138,422,222219,1597,34320,3348,144734,93538,218129,56707,218129,78954,14083,37301,127493,79073,140125,84772,97915,3605,31722,96713,162559,2238,192834,132428,266967,83040,223779,224316,206490,11949,210900,33107,7806,1265,226519,433,433,281655,14808,316858,264239,176565,30539,71655,3139,4174,15369,202288,156442,266964,259061,118610,208775
2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4204,136440,25584,149787,33643,155,218421,186721,33643,1430,206327,1645,228668,118497,258074,130899,258074,22278,156266,165662,19679,189848,285265,170199,200,8829,207062,149119,156266,285775,1561,1561,143096,2795,177079,148532,288169,422,148532,148532,1597,175695,232524,464,163640,163640,232524,173047,56707,56885,3234,3234,177965,177197,44,37231,172546,96713,248861,3263,271615,35614,181260,83040,155708,182351,69601,827,184346,281194,226519,1758,108722,159469,245353,147537,155451,134520,184346,184346,177939,16,181761,4174,266964,181761,36888,192638,156442,24762
