BoardGameRank,2018-10-06,2018-10-13,2018-10-20,2018-10-27,2018-11-03,2018-11-09,2018-11-17,2018-11-24,2018-12-01,2018-12-08,2018-12-15,2018-12-22,2018-12-29,2019-01-05,2019-01-12,2019-01-19,2019-01-26,2019-02-02,2019-02-09,2019-02-16,2019-02-23,2019-03-02,2019-03-09,2019-03-16,2019-03-23,2019-03-30,2019-04-06,2019-04-13,2019-04-20,2019-04-27,2019-05-04,2019-05-11,2019-05-18,2019-05-25,2019-06-01,2019-06-08,2019-06-15,2019-06-22,2019-06-29,2019-07-06,2019-07-13,2019-07-20,2019-07-27,2019-08-03,2019-08-10,2019-08-17,2019-08-24,2019-08-31,2019-09-07,2019-09-14,2019-09-21,2019-09-28,2019-10-05,2019-10-12,2019-10-19,2019-10-26,2019-11-02,2019-11-09,2019-11-16,2019-11-23,2019-11-30,2019-12-07,2019-12-14,2019-12-21,2019-12-28,2020-01-04,2020-01-11,2020-01-18,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22
1245,143401,228504,183231,,114031,114031,204472,216201,153064,1032,198487,42673,239464,28259,54137,102435,187653,144239,187653,2961,157026,17223,169416,169416,143175,128442,111105,12477,17223,24703,24703,24703,244049,85005,122240,176083,176083,35503,35503,36811,35503,35503,929,2251,2251,2251,32125,43868,32125,32125,4396,180592,13308,67254,2808,13308,56931,38386,200057,205046,165948,163805,155255,38545,175307,129736,129459,99975,104955,21133,113636,272738,205317,261114,171726,619,619,200057,229491,157917,1544,37907,29937,10093,229491,139771,2065,119,6205,191597,266830,178054,266830,216201,195571,138233,266830,21920,90040,142079,142079,31497,31497,168609,2397,146221,24773,24773,88827,3955,233571,116954,116954,116954,314040,41933,256788,123607,192860,192860,242,242,15818,171662,22,143986,216201,15818,38343,204505,96007,194626,204505,245487,166857,38862,226501,246663
1246,120,29223,29223,,39217,39217,216201,2570,1032,34707,66588,195856,42673,19526,19526,187653,32666,179303,25224,169416,141736,31105,31105,118174,128442,442,22348,252328,111105,92190,92190,17223,9910,122240,232,205046,71906,71906,36811,224821,36811,71906,28089,929,163474,169611,2251,32125,43868,43868,32125,13308,152765,171011,3931,2808,71074,56931,38386,145189,157,155255,163805,175307,168998,175307,202077,8129,99975,281442,170604,261114,99975,22877,99975,149951,22877,22877,35435,157413,730,22877,37387,216201,10093,216201,205317,195856,2065,2065,103092,218074,122842,14254,178054,195571,39339,112138,21920,701,160902,270971,160902,2397,34887,73369,201,233571,116954,3228,228855,103185,103185,26457,256788,438,193308,438,438,123607,40270,192860,204,204,131366,26,170604,131366,168,57925,204505,199383,58936,199383,125548,152,246663,194626
1247,38718,925,234477,,27627,195528,120217,208895,16267,193737,144826,177478,195856,98,28259,19526,195856,46396,46396,187653,46396,169416,157026,31105,31105,244331,216201,168681,128442,17223,63543,22348,180771,232,180771,257518,224821,208895,71906,620,620,36811,176083,244608,63759,163474,208895,2251,21954,163474,43868,15511,269207,15511,13308,3931,230303,200057,230303,361,230303,1662,129736,494,37358,91984,245961,146418,8129,8129,144529,229491,22877,136280,38765,157096,157096,619,730,35435,256952,915,107255,29937,37387,205317,139771,243759,191597,205317,2065,2065,33451,33451,218074,218074,2065,39339,188547,90040,2987,2987,2987,273477,271869,88827,73369,116954,138649,228855,3228,38863,228328,38863,148951,254018,1568,193308,204505,30658,30658,15818,242,15818,246663,181524,143986,181524,15818,291508,254018,204505,194626,194626,199383,166857,233961,294612
1248,5072,149776,120,,123096,33154,38718,16267,903,153064,8190,6779,65564,177478,177478,205046,162388,175293,144239,46396,187653,46396,187653,187653,86246,205046,46396,128442,122240,216201,111105,218121,54361,9910,85005,232,205046,205046,205046,17223,271896,176083,149776,149776,208895,149776,24742,149776,24742,24742,163474,2251,67254,208895,171011,230303,226518,230303,56931,38386,38992,230303,216201,129736,129736,40209,175307,175307,226520,8098,21133,986,261114,99975,216201,99975,216201,229491,22877,274637,242684,730,1544,22877,22877,22877,216201,111417,119,6205,205317,266830,195571,122842,14254,3565,218074,205418,205418,1829,701,142079,142079,6351,277085,2397,146221,256606,5206,5206,5206,3800,38863,3955,103185,116954,438,293014,193308,438,123607,123607,143175,242,61487,131366,181524,170604,131366,254018,92319,233262,131111,125548,194626,299047,38862,226501
1249,66510,1107,66510,,31759,31759,195528,38718,120217,903,34707,198487,216201,172996,67239,24310,89910,41749,41749,41749,144239,187653,46396,46396,22348,22348,205046,180852,216201,122240,128442,205046,214029,75476,9910,134157,134157,134157,134157,42124,17223,208895,199383,37141,149776,208895,149776,24742,149776,21954,149776,208895,15511,152765,15511,171011,200057,15511,2251,56931,205046,157,1662,216201,216201,125752,237,237,146418,216201,261114,170604,229491,205317,205317,171726,99975,149951,619,730,35435,70,245655,37387,218074,10093,10093,2065,195856,119,6205,103092,2065,218074,2065,267319,138233,2065,39339,21920,158900,1829,276894,213266,31497,34887,2397,147253,24773,239472,3955,3228,3800,103185,1499,1499,41933,34297,2081,231218,438,30658,22484,246663,301880,22,26,216201,181524,115,15818,254018,169427,58936,58936,125548,125548,125548
1250,118695,118695,118695,,29223,123096,168788,195528,27627,16267,193737,216201,6779,67239,98,242804,31552,169416,169416,241451,175293,2961,141736,144239,187653,31105,180852,22348,4636,128442,22348,111105,24703,54361,75476,17223,232,232,163474,163474,42124,17223,71906,208895,172737,172737,169611,172737,169611,149776,24742,163474,208895,180592,230303,15511,149776,71074,84,84,361,361,165948,163805,494,8098,91984,91984,175307,2393,216201,113636,986,143185,248065,216201,196526,157096,99975,22877,157917,253214,205317,205317,29937,37387,266830,229491,229491,195856,195856,195856,103092,256589,33451,14254,3565,138233,112138,251412,1829,701,39339,160902,241266,31497,34887,146221,201,24773,88827,88827,3228,256788,12761,103185,254018,123499,34297,2081,2081,143175,246663,143175,204,204,290359,143986,143986,61487,34194,96007,245487,131111,131111,199383,166857,166857
1251,149776,120,925,,193737,27627,85036,120217,2570,27627,1032,66588,198487,15953,172996,54137,199966,205046,175293,144239,41749,141736,180852,143175,179303,187653,442,46396,168681,4636,175095,63543,205046,180771,54361,180771,172737,172737,232,180771,180771,620,36811,176083,929,63759,163474,163474,163474,169611,21954,4396,180592,4396,163474,149776,13308,226518,2808,216201,38386,145189,254386,155255,155255,1887,40209,40209,237,104955,175307,216201,113636,279254,22877,38765,149951,99975,21133,21133,157413,1544,266830,1544,107255,29937,22877,10093,111417,111417,119,205317,205317,2065,122842,178054,195571,195571,2065,39339,90040,158900,1829,2987,1829,233571,233571,73369,146221,138649,228328,228328,88827,279537,26457,12761,116954,2081,123499,193308,34297,246663,55697,22484,242,61487,204,171662,171662,38343,57925,15818,15818,254018,254018,233961,152,297978
1252,1198,66510,1107,,208895,208895,39217,39217,193737,120217,16267,217780,177478,91620,205046,172996,232988,32666,17710,25224,25224,144239,2961,157026,157026,124172,31105,216201,22348,22348,216201,92190,17223,205046,24703,9910,17223,17223,85005,134157,22348,42124,35503,28089,37141,176083,172737,169611,176083,176083,230303,32125,4396,32125,208895,208895,208895,2808,15511,2251,145189,216201,145189,1662,163805,494,125752,129459,129459,175307,8129,144529,279254,216201,136280,136280,229491,216201,157096,619,22877,195043,915,195043,915,266830,243759,191597,19622,19622,19622,157917,195856,103092,284760,2065,205317,3565,195571,2065,39339,90040,158900,1829,2987,1829,283155,279613,73369,2397,24773,5206,5206,3800,38863,148951,1499,165950,165950,34297,193308,165950,40270,55697,15818,15818,61487,26,284742,168,115,92319,92319,15818,92319,58936,294612,38862
1253,13551,5072,143401,,75358,193737,114031,85036,39217,2570,205046,144826,217780,65564,15953,177478,102435,24310,179303,205046,205046,179303,179303,180852,205046,216201,86246,205046,118174,168681,205046,4636,63543,24703,254591,54361,85005,85005,172737,85005,85005,208024,172737,172737,28089,929,63759,176083,929,929,172737,230303,163474,163474,67254,163474,15511,129736,13308,129736,129736,38992,157,165948,165948,38545,494,125752,40209,142961,104955,175307,216201,113636,143185,229491,171726,171726,143185,253214,98527,35435,161882,107255,1544,1544,29937,266830,10093,1544,111417,119,205418,205317,284435,33451,205418,14254,138233,112138,21920,39339,701,142079,6351,2987,31497,2397,228855,201,138649,3955,3955,254018,254018,205317,148951,1568,1568,165950,165950,193308,438,276498,318977,242,242,61487,170604,15818,245476,34194,57925,92319,15818,15818,199383,233961
1254,340,143401,5072,,1198,29223,33154,193737,31759,231581,903,239464,205046,233020,65564,28259,205046,249381,32666,17710,17710,175293,144239,175293,216201,86246,124172,442,180852,118174,118174,149776,111105,111105,17223,85005,9910,163474,17223,232,134157,180771,208895,17223,176083,37141,176083,63759,63759,230303,176083,43868,32125,176083,176083,200057,129736,13308,129736,15511,56931,38386,361,157,266121,245961,216201,216201,125752,170604,2393,21133,175307,986,229491,22877,38765,38765,248490,157096,619,266830,22877,915,195043,107255,37387,915,915,246900,269595,6205,119,205418,205317,122842,14254,188547,3565,195571,2065,2065,213266,39339,168609,6351,2987,34887,147253,88827,272739,2397,2397,205317,205317,26457,205317,41933,254018,1568,1568,2081,192860,254018,22484,22484,22,204,26,131366,168,57925,254018,57925,57925,131111,297978,152
1255,32412,1198,1198,,66510,75358,193737,168788,182189,205046,216201,8190,66588,205046,91620,98,177478,89910,205046,32666,32666,25224,205046,172931,144239,175293,175293,187653,205046,46396,4636,118174,22348,17223,111105,224821,180771,54361,54361,22348,149776,149776,17223,36811,256570,28089,929,37141,172737,63759,63759,24742,43868,43868,180592,180592,2808,23679,36522,149776,84,149776,230303,145189,1662,163805,8098,170604,91984,494,229491,2393,144529,229491,986,21133,136280,136280,38765,99975,253214,157917,195043,218074,205317,915,107255,139771,139771,10093,285984,19622,157917,267319,205418,205418,33451,178054,14254,14254,112138,112138,90040,158900,233571,168609,1829,205317,2397,146221,201,24773,24773,88827,3955,38863,38863,205317,205317,123499,123499,438,123607,40270,143175,55697,171662,242,61487,245476,131366,115,34194,34194,96007,297978,58936,199383
1256,155969,155969,208895,,1107,204472,31759,114031,1198,39217,27627,34707,144826,6779,81640,67239,65564,98,24310,179303,179303,17710,17710,141736,46396,157026,187653,218479,12477,31105,218121,168681,46396,63543,63543,75476,22348,9910,9910,54361,232,22348,620,620,230303,230303,28089,929,219100,172737,169611,21954,149776,149776,4396,274960,23679,36522,71074,2808,2251,56931,205046,38992,202077,37358,163805,8098,216201,261114,8098,8129,21133,21133,21133,143185,143185,143185,149951,149951,149951,161882,37907,37907,70,195043,1544,1544,1544,29937,1544,195043,19622,195856,103092,205317,178054,205317,178054,3565,213266,233571,264052,701,142079,158900,168609,168609,34887,205317,2397,146221,205317,3228,3800,283864,26457,254018,41933,254018,254018,254018,165950,438,55697,143175,165950,300877,216201,244918,38343,168,96007,96007,34194,254018,15818,264982
1257,424,227460,155969,,182189,1198,29223,33154,85036,182189,153064,1032,8190,81640,6779,65564,54137,65564,98,177478,24310,205046,175293,205046,54137,46396,157026,175293,31105,205046,46396,128442,92190,46396,149776,163474,75476,22348,180771,46396,54361,134157,42124,35503,17223,134157,37141,28089,28089,219100,269144,169611,230303,230303,152765,272453,36522,149776,149776,270633,149776,205046,38992,361,170604,168998,1887,494,170604,146418,142961,8098,8129,8129,113636,986,21133,21133,136280,98527,271518,157413,70,70,243759,70,915,29937,29937,269595,10093,1544,247367,6205,267319,103092,188547,33451,205317,178054,270971,276894,273477,233571,158900,39339,6351,1829,205317,147253,147253,201,201,2397,3228,3955,103185,148951,1499,1499,1499,256999,205317,192860,254018,254018,438,244918,244918,143986,143986,131366,168,168,168,57925,254018,254018
1258,85325,13551,13551,,204472,66510,1107,29223,205046,31759,195528,153064,206931,144826,193737,15953,24310,172996,89910,24310,54137,41749,143175,2961,24310,179303,149776,31105,46396,180852,12477,46396,149776,22348,163474,122240,54361,75476,75476,172737,46396,85005,134157,180771,620,17223,230303,230303,230303,28089,929,149776,176083,226518,32125,67254,3931,73,23679,36522,15511,254386,38386,202077,38992,170604,37358,163805,8098,229491,40209,142961,2393,144529,8129,8129,986,986,171726,143185,99975,619,218074,266830,37907,243759,216600,195043,22877,915,139771,205418,6205,119,213266,188547,122842,213266,33451,138233,233571,213266,112138,90040,254,206480,158900,2987,31497,34887,146221,138649,138649,204505,88827,3800,12761,1499,148951,205317,246663,1568,254018,165950,40270,244918,22484,22,306040,171662,216201,38343,115,115,233961,316377,131111,15818
1259,31624,340,340,,155969,202583,123096,31759,195528,195528,120217,903,223040,66588,66588,91620,19526,19526,28259,28259,177478,24310,25224,17710,175293,144239,24310,157026,442,12477,168681,216201,4636,118174,22348,24703,46396,180771,22348,149776,9910,230303,180771,216201,134157,620,134157,134157,98527,98527,231733,176083,169611,244114,149776,4396,73,216201,216201,13308,2808,15511,149776,230303,230303,1662,170604,37358,494,237,494,279254,104955,175307,269511,113636,2393,2393,253214,38765,157096,149951,730,157917,730,37907,195043,107255,107255,139771,915,22877,195043,233571,195043,213266,195856,122842,213266,205317,195571,21920,233571,2065,39339,254,205317,31497,204505,73369,254018,147253,146221,201,201,3228,3800,3955,26457,41933,280794,34297,1568,1568,438,192860,205317,165950,242,181524,61487,181524,38343,131366,181524,294612,57925,58936
1260,118536,208895,32412,,118695,155969,75358,75358,33154,1198,217780,205046,34707,42673,198487,81640,98,31552,19526,98,98,54137,198830,179303,141736,54137,252328,86246,187653,442,31105,12477,128442,4636,46396,22348,122240,122240,122240,9910,230303,232,85005,134157,35503,238992,17223,17223,216201,216201,216201,63759,21954,21954,226518,176083,171011,208895,73,23679,163474,84,56931,205046,205046,165948,38545,38545,163805,40209,146418,104955,8098,2393,2393,2393,8129,8129,2393,136280,161882,99975,243759,243759,266830,730,149951,22877,195043,107255,29937,111417,267319,157917,195856,157917,119,119,122842,293141,205317,273477,2065,112138,205317,142079,39339,6351,168609,204505,205317,254018,147253,5206,204505,204505,3955,116954,103185,26457,26457,123499,193308,193308,192860,205317,244918,205317,204,204,181524,244918,131366,233961,131366,92319,291794,131111
1261,208895,32412,15839,,73316,1107,27627,27627,38718,29223,29223,253284,903,8190,144826,199966,28259,162388,54137,54137,28259,98,162388,25224,169416,169416,54137,149776,149776,187653,180852,31105,118174,92190,187653,92190,24703,24703,24703,24703,172737,54361,230303,71906,36811,36811,36811,36811,17223,231733,98527,172737,98527,24742,43868,152765,176083,3931,208895,208895,216201,208895,274364,38386,145189,239942,168998,1887,38545,163805,163805,125752,142961,104955,144529,196526,113636,113636,986,171726,266830,157096,157917,730,149951,149951,70,37387,269595,22877,157917,915,1544,19622,6205,210296,213266,195856,233571,213266,14254,195571,195571,3565,112138,205317,254,158900,1829,1829,34887,205317,34887,34887,2397,88827,204505,103185,116954,148951,41933,1499,2081,30658,165950,438,55697,438,245476,216201,171662,245487,181524,38343,115,168,92319,244918
1262,68182,424,424,,120,182189,66510,182189,114031,85036,2570,193737,193737,34707,260428,6779,172996,28259,162388,19526,143175,162388,41749,162388,17710,24310,144239,124172,157026,149776,187653,187653,12477,254591,92190,128442,216201,46396,46396,128442,75476,46396,22348,230303,71906,35503,35503,35503,37141,37141,28089,929,24742,169611,98527,226518,216201,176083,171011,163474,98527,170604,170604,149776,157,230303,155255,226520,1887,233678,237,163805,230303,142961,253214,253214,144529,144529,8129,2393,21133,171726,149951,149951,35435,35435,37907,205418,37387,205418,22877,10093,111417,213266,111417,195856,103092,103092,119,33451,3565,14254,21920,271869,2065,2065,142079,254018,2987,254018,204505,34887,254018,24773,5206,201,3228,26457,3955,246663,205317,26457,30658,2081,205317,165950,143175,22484,291508,26,244918,143986,233961,181524,38343,96007,168,92319
1263,15839,85325,85325,,149776,149776,149776,1198,168788,38718,39217,16267,1032,198487,42673,193737,67239,54137,65564,172996,172996,143175,172931,41749,25224,141736,179303,242639,86246,86246,54137,238638,168681,216201,4636,46396,163474,216201,149776,75476,157026,9910,232,42124,180771,71906,180771,42124,46396,17223,,28089,226518,98527,200057,32125,163474,171011,3931,71074,36522,13308,15511,170604,361,155255,165948,168998,37358,38545,230303,40209,163805,8098,175307,144529,175307,104955,98527,242684,171726,38765,35435,35435,157917,157917,730,70,205418,37387,205418,139771,213266,195043,119,195043,111417,233571,270971,283863,138233,205317,14254,21920,160902,112138,2065,228855,6351,2987,73369,31497,204505,2065,34887,2397,201,201,12761,116954,256999,205317,276498,205317,1568,40270,300877,55697,143175,170604,204,61487,244918,244918,244918,34194,244918,168
1264,3353,234477,31624,,925,118695,182189,149776,29223,168788,168788,29223,16267,195528,195528,34707,15953,102435,31552,89910,89910,172931,54137,54137,2961,17710,17710,24310,175293,54137,149776,442,31105,187653,216201,180852,92190,92190,128442,122240,24703,75476,216201,85005,85005,180771,620,180771,42124,205418,17223,216201,216201,200057,24742,43868,4396,163474,176083,176083,208895,2251,84,56931,38386,208895,205046,230303,229491,91984,125752,494,125752,163805,8098,175307,104955,175307,113636,986,143185,21133,99975,619,99975,619,191597,730,730,195043,107255,213266,139771,111417,19622,19622,139771,19622,195856,233571,276894,3565,205317,195571,195571,701,112138,39339,239472,31497,31497,2987,31497,2987,24773,5206,88827,12761,3800,103185,116954,317985,34297,123607,30658,1568,192860,143175,205317,242,242,204,61487,204,204,131366,96007,57925
1265,119391,31624,205046,,183231,340,1198,123096,123096,33154,38718,195528,195528,29223,34707,144826,91620,177478,172996,31552,19526,28259,24310,98,98,149776,169416,54137,124172,157026,442,54137,187653,128442,128442,216201,128442,128442,157026,4636,208024,24703,46396,22348,42124,216201,71906,71906,205418,46396,205418,98527,200057,216201,169611,24742,32125,4396,163474,270844,23679,2808,208895,15511,149776,145189,1662,1662,230303,230303,37358,230303,40209,125752,104955,8098,8098,253214,266830,8129,136280,243759,157413,99975,619,99975,157917,99975,70,21133,213266,29937,22877,1544,157917,119,233571,139771,103092,122842,33451,138233,3565,205317,701,195571,701,195571,195571,168609,2987,1829,1829,138649,2065,34887,2397,3800,246663,3955,306735,41933,3955,301880,2081,30658,1568,290236,22484,143175,233262,233961,204,143986,297978,115,264982,96007
1266,249,15839,3353,,340,120,155969,143401,1107,216201,31759,206931,29223,193737,8190,232988,198487,91620,177478,65564,31552,32666,98,24310,149776,25224,2961,17710,54137,144239,124172,245643,216201,149776,168681,111105,4636,157026,92190,230303,128442,216201,54361,24703,22348,85005,42124,620,22348,42124,37141,226518,63759,63759,21954,98527,180592,180592,180592,171011,13308,202077,13308,208895,56931,205046,361,361,149776,37358,233678,146418,494,230303,494,104955,266830,98527,188547,266830,38765,136280,619,157413,21133,216600,35435,157917,213266,70,21133,233571,915,22877,188547,111417,6205,270971,251412,22877,178054,33451,138233,14254,90040,160902,195571,2065,254018,6351,1829,204505,2987,31497,2987,24773,5206,38863,38863,12761,103185,148951,123499,34297,123607,123607,40270,291508,22,22484,26,171662,143986,61487,143986,244918,34194,115
1267,41010,68182,68182,,5072,73316,143401,66510,149776,123096,182189,120217,153064,182189,903,195528,81640,67239,102435,102435,65564,31552,32666,255692,41749,2961,141736,179303,144239,124172,157026,157026,157026,163474,118174,4636,180852,63543,216201,157026,4636,157026,9910,232,216201,42124,46396,85005,134157,35503,42124,17223,244114,17223,216201,216201,43868,32125,4396,262211,71074,36522,2251,84,208895,38386,208895,155255,165948,275467,38545,237,237,494,230303,494,230303,8098,144529,271518,2393,143185,157096,157096,157096,157413,619,149951,21133,213266,37387,284760,10093,139771,233571,6205,195043,111417,19622,270971,204505,178054,256606,241266,254018,204505,256606,254,39339,39339,2065,73369,2065,147253,138649,2987,24773,2397,201,38863,148951,103185,148951,3955,193308,2081,3955,245476,438,205317,438,216201,216201,216201,216201,264982,181524,216201
1268,227460,3353,216201,,143401,183231,120,1107,217780,114031,257499,27627,149776,153064,29223,8190,195528,249259,91620,91620,149776,177478,28259,32666,172996,98,25224,144239,24310,175293,175293,180852,442,12477,12477,63543,63543,4636,4636,180852,220517,128442,24703,46396,46396,22348,233678,22348,35503,22348,180771,180771,929,28089,63759,21954,17223,98527,98527,73,254386,171011,202077,13308,233678,38992,230303,176083,168998,129459,129459,280480,233678,40209,142961,230303,253214,494,104955,188547,986,218421,21133,21133,157413,21133,213266,37907,99975,730,195043,107255,233571,10093,22877,233571,1544,6205,139771,204505,227456,227456,178054,256606,204505,228855,279613,142079,2065,2065,168609,2065,73369,1829,147253,138649,34887,3228,3228,201,12761,116954,41933,300531,244918,193308,41933,192860,55697,22,165950,242,242,22,61487,61487,131366,181524
1269,205046,205046,118536,,13551,205046,205046,205046,120,149776,1198,2570,120217,16267,242804,66588,6779,6779,149776,149776,102435,19526,102435,28259,162388,172996,218479,169416,179303,17710,98,175293,180852,168681,31105,175293,12477,149776,233678,216201,122240,172737,75476,157026,233678,46396,85005,46396,180771,134157,22348,244114,17223,233678,17223,169611,24742,43868,32125,3931,73,23679,2808,98527,15511,361,233678,233678,155255,125752,91984,37358,146418,237,40209,266830,494,230303,175307,161882,8129,2393,143185,38765,143185,157096,99975,21133,157917,285984,730,730,284760,915,1544,1544,19622,1544,111417,19622,22877,256606,33451,138233,21920,254018,160902,701,254,195571,22877,22877,22877,146221,146221,2065,274638,88827,2397,3800,3955,3955,2397,244918,283393,3955,30658,40270,165950,298065,170604,26,26,170604,170604,38343,115,131366
1270,40760,118536,249,,32412,925,118695,155969,75358,1107,33154,39217,38718,27627,16267,198487,66588,66588,195528,143175,91620,172996,177478,102435,31552,162388,98,260605,17710,24310,141736,124172,54137,31105,157026,12477,157026,230303,180852,118174,216201,199383,4636,4636,232,233678,22348,24703,71906,71906,134157,46396,28089,929,233678,129736,98527,17223,43868,98527,171011,43868,171011,2251,98527,56931,145189,205046,176083,1887,1887,233678,37358,37358,163805,142961,163805,266830,494,113636,218421,8129,38765,143185,171726,143185,149776,213266,149776,157917,233571,267319,29937,284760,139771,139771,157917,157917,22877,119,122842,122842,271869,204505,228855,256606,254018,204505,284818,158900,195571,168609,256788,304420,1829,147253,246663,246663,88827,280794,38863,12761,1499,123499,3955,123499,2081,3955,192860,438,233961,165950,165950,297978,165950,181524,61487,204
1271,66214,119391,41010,,205046,143401,73316,118695,216201,217780,85036,31759,39217,39217,153064,42673,34707,195528,67239,162388,162388,102435,31552,31552,198487,65564,65564,2961,169416,169416,144239,163474,163474,442,442,31105,149776,180852,63543,233678,118174,4636,157026,233678,24703,24703,216201,216201,231733,180771,46396,37141,172737,172737,28089,17223,169611,169611,17223,4396,176083,71074,36522,176083,176083,233678,38386,165948,361,149776,149776,129459,129459,233678,91984,163805,237,91984,242684,144529,113636,258210,171726,2393,2393,191597,21133,149776,37907,149776,70,37387,251412,29937,10093,10093,915,195043,6205,195856,273477,254018,254018,22877,256606,90040,204505,112138,158900,142079,6351,39339,168609,73369,31497,1829,2065,34887,34887,3228,3800,38863,26457,41933,34297,34297,123607,1568,3955,55697,143175,438,22,165950,22,143986,170604,34194
1272,1442,41010,146816,,85325,13551,340,120,155969,120,123096,38718,31759,903,245654,153064,144826,144826,143175,67239,170624,65564,19526,177478,244331,41749,172996,141736,141736,163474,86246,244049,175293,157026,175293,118174,118174,118174,118174,63543,180852,122240,128442,128442,128442,232,24703,4636,24703,198487,35503,233678,233678,270970,929,63759,152765,24742,169611,43868,169611,176083,233678,2808,271324,176083,176083,38386,211716,176083,272738,38545,38545,146418,125752,91984,142961,163805,230303,494,104955,218074,136280,171726,38765,213266,157413,269595,149951,99975,149776,188547,107255,107255,29937,22877,251412,915,1544,111417,254018,204505,204505,178054,14254,14254,90040,160902,701,112138,39339,195571,39339,195571,168609,168609,138649,24773,2987,2397,201,201,244918,148951,123499,103185,245476,30658,40270,165950,22484,22,170604,242,26,216201,38343,170604
1273,228504,249,119391,,3353,5072,183231,73316,143401,75358,1107,168788,2570,1032,149776,903,8190,81640,6779,195528,67239,198830,65564,172996,32666,31552,177478,25224,2961,179303,24310,98,124172,180852,180852,442,111105,12477,230303,208024,63543,118174,233678,9910,4636,218530,232,232,172996,24703,71906,205418,205418,205418,172737,28089,929,152765,152765,32125,3931,98527,176083,233678,84,157,38992,38992,1662,145189,145189,91984,211716,253214,233678,125752,98527,237,8098,104955,188547,986,2393,230303,191597,171726,205418,35435,285984,37907,99975,251412,37387,37387,915,29937,254018,251412,204505,103092,19622,271869,241266,33451,22877,3565,228855,90040,142079,22877,158900,6351,6351,168609,73369,31497,2987,2987,24773,88827,3228,3800,38863,2397,38863,41933,223740,41933,319966,192860,22,170604,438,26,264982,170604,216201,61487
1274,35761,146816,1442,,68182,32412,32412,183231,118695,206931,114031,33154,27627,1198,39217,29223,149776,15953,81640,6779,195528,149776,172996,65564,28259,198487,41749,98,98,2961,238638,86246,86246,54137,54137,157026,442,111105,12477,187653,233678,180852,118174,75476,9910,4636,4636,98527,36811,218530,226518,200057,37141,129736,146910,233678,21954,21954,24742,169611,170604,233678,98527,36522,264055,149776,56931,229491,233678,218530,176083,218530,91984,38545,237,129459,91984,142961,161882,175307,218074,113636,8129,8129,136280,2393,269595,143185,35435,215840,37907,70,730,188547,107255,915,10093,22877,195043,139771,119,22877,157917,254018,178054,21920,3565,3565,112138,254,160902,142079,142079,39339,283864,246663,146910,5206,1829,256999,2397,3228,103185,1499,41933,38863,34297,2081,1568,41933,55697,143175,143175,143175,294612,204,204,38343
1275,113289,1442,113289,,424,15839,5072,340,66510,143401,206931,182189,85036,120217,182189,1198,193737,34707,66588,81640,6779,89910,149776,19526,159504,177478,162388,177478,163474,141736,17710,233678,98,233678,257518,256916,31105,442,111105,198487,198487,233678,122240,180852,157026,128442,128442,198487,620,233678,198487,134157,129736,180771,129736,146910,233678,67254,929,17223,146910,169611,43868,43868,245961,15511,149776,145189,38386,361,218530,1887,1887,129459,37358,37358,176083,129459,91984,155255,144529,188547,188547,136280,8129,205418,143185,619,230303,188547,149951,99975,215840,730,37387,37387,22877,149776,149776,1544,1544,119,122842,227456,3565,178054,14254,14254,90040,160902,254,112138,160902,6351,39339,274638,147253,2065,2065,24773,88827,2397,22877,26457,26457,26457,291508,123607,41933,1568,3955,22484,297978,264982,242,165950,165950,165950
1276,40769,66214,40760,,15839,85325,13551,217780,41010,118695,149776,1198,217861,33154,1032,16267,29223,149776,144826,66588,81640,244115,91620,198487,65564,32666,163474,162388,172996,98,245643,141736,254591,175293,124172,187653,230303,198487,442,92190,31105,187653,180852,54361,180852,198487,9910,231733,54137,36811,233678,42124,180771,37141,272453,172737,67254,929,146910,180592,4396,4396,23679,211716,2251,218530,552,149776,38992,38992,211716,176083,176083,91984,38545,237,40209,161882,155255,230303,494,245655,230303,215840,216600,38765,157096,230303,619,149951,619,215840,188547,251412,227456,107255,227456,204505,254018,195043,195856,19622,22877,157917,33451,22877,178054,22877,160902,3565,701,160902,701,254,6351,73369,1829,1829,5206,34887,1829,88827,201,38863,1499,22877,123499,264982,264982,3955,205317,205317,205317,438,143175,242,143986,253608
