game_id,name,boardgamedesigner,boardgameartist,yearpublished,minplayers,maxplayers,minage,playingtime,minplaytime,maxplaytime,boardgamepublisher,boardgamecategory,boardgamefamily,boardgamemechanic,AbstractGameRank_min,AbstractGameRank_min_date,AbstractGameRank_max,AbstractGameRank_max_date,first_date_in_ref,BoardGameRank_min,BoardGameRank_min_date,BoardGameRank_max,BoardGameRank_max_date,ChildrensGameRank_min,ChildrensGameRank_min_date,ChildrensGameRank_max,ChildrensGameRank_max_date,CustomizableRank_min,CustomizableRank_min_date,CustomizableRank_max,CustomizableRank_max_date,FamilyGameRank_min,FamilyGameRank_min_date,FamilyGameRank_max,FamilyGameRank_max_date,PartyGameRank_min,PartyGameRank_min_date,PartyGameRank_max,PartyGameRank_max_date,StrategyGameRank_min,StrategyGameRank_min_date,StrategyGameRank_max,StrategyGameRank_max_date,ThematicRank_min,ThematicRank_min_date,ThematicRank_max,ThematicRank_max_date,WarGameRank_min,WarGameRank_min_date,WarGameRank_max,WarGameRank_max_date,bgg_url
178302,Welcome to Centerville,['Chad Jensen'],['Chechu Nieto'],2017,2,4,12,80,40,80,['GMT Games'],"['City Building', 'Dice']",[],"['Area Majority / Influence', 'Dice Rolling', 'Highest-Lowest Scoring', 'Set Collection']",,,,,2019-09-07,2542,2019-09-07,2874,2021-05-22,,,,,,,,,663,2019-09-07,714,2020-04-11,,,,,1072,2019-09-07,1207,2021-05-22,,,,,,,,,https://boardgamegeek.com/boardgame/178302
1444,SPQR,"['Richard H. Berg', 'Mark Herman']","['Rodger B. MacGowan', 'Mark Simonitch']",1992,2,2,13,240,240,240,"['GMT Games', 'Oriflam']","['Ancient', 'Wargame']","['Ancient: Rome', 'Players: Two Player Only Games', 'Series: Great Battles of History (GMT Games)']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Line of Sight', 'Movement Points', 'Simulation']",,,,,2019-09-07,2345,2019-09-07,2875,2021-05-22,,,,,,,,,,,,,,,,,,,,,,,,,191,2019-10-05,231,2021-05-08,https://boardgamegeek.com/boardgame/1444
74390,Rolling Freight,['Kevin G. Nunn'],['Jim Maxwell'],2012,2,5,13,180,120,180,['APE Games'],"['Dice', 'Trains', 'Transportation']","['Crowdfunding: Kickstarter', 'Game: Rolling Freight (APE)']","['Action Points', 'Card Drafting', 'Dice Rolling', 'Network and Route Building', 'Pick-up and Deliver', 'Simulation']",,,,,2019-09-07,2325,2019-09-07,2876,2021-05-22,,,,,,,,,,,,,,,,,1020,2019-09-07,1219,2021-05-22,,,,,,,,,https://boardgamegeek.com/boardgame/74390
275916,Cairn,['Christian Martinez'],['Vincent Joubert'],2019,2,2,10,25,25,25,"['Matagot', 'Board Game Box', 'Maldito Games']","['Fantasy', 'Miniatures', 'Prehistoric']","['Admin: Better Description Needed!', 'Components: 5 x 5 Grids', 'Components: Miniatures', 'Players: Two Player Only Games', 'Theme: Druids']","['Grid Movement', 'Tile Placement']",105,2021-05-15,257,2020-09-12,2020-09-05,2874,2021-05-15,4981,2020-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/275916
155,Was sticht?,['Karl-Heinz Schmiel'],['Ralf E. Kahlert'],1993,3,4,12,60,60,60,"['Moskito Spiele', 'New Games Order, LLC']","['Card Game', 'Deduction']",[],"['Card Drafting', 'Trick-taking']",,,,,2019-09-14,2405,2019-09-14,2878,2021-05-22,,,,,,,,,602,2019-09-14,754,2021-05-22,,,,,1035,2019-09-14,1218,2021-05-22,,,,,,,,,https://boardgamegeek.com/boardgame/155
371,Mystery Rummy: Murders in the Rue Morgue,['Mike Fitzgerald'],"['Christine Conrad', 'Virginijus Poshkus']",1999,2,4,8,40,20,40,"['Eagle-Gryphon Games', 'Kaissa Chess & Games', 'Pegasus Spiele', 'U.S. Games Systems, Inc.']","['Card Game', 'Murder/Mystery']","['Books: Mystery Novels', 'Card Games: Draw and Discard', 'Misc: LongPack Games', 'Series: Mystery Rummy', 'Traditional Card Games: Rummy']","['Hand Management', 'Set Collection', 'Team-Based Game']",,,,,2019-09-07,2471,2019-09-07,2879,2021-05-22,,,,,,,,,651,2019-09-07,777,2021-05-22,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/371
6795,Battleball,"['Stephen Baker', 'Craig Van Ness']",[],2003,2,2,8,45,45,45,"['Hasbro', 'Milton Bradley']","['Miniatures', 'Science Fiction', 'Sports']","['Components: Polyhedral (not D6) dice', 'Players: Two Player Only Games', 'Sports: American Football / Gridiron', 'Theme: Sci-Fi Sports']","['Dice Rolling', 'Different Dice Movement', 'Roll / Spin and Move']",,,,,2019-09-07,2487,2019-09-07,2880,2021-05-15,,,,,,,,,768,2019-09-07,902,2021-05-22,,,,,,,,,505,2019-10-26,578,2021-05-22,,,,,https://boardgamegeek.com/boardgame/6795
226631,War of the Worlds: The New Wave,['Denis Plastinin'],['Igor Savchenko'],2019,2,2,0,60,30,60,"['Jet Games Studio', 'Lavka Games', 'Do it games', 'Grey Fox Games', 'Grimspire', 'Pendragon Game Studio']","['Miniatures', 'Novel-based', 'Science Fiction', 'Wargame']","['Country: United Kingdom', 'Creatures: Aliens / Extraterrestrials', 'Crowdfunding: Kickstarter', 'Fictional Events: The War of the Worlds', 'Players: Two Player Only Games']","['Area Movement', 'Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']",,,,,2019-10-12,2817,2020-12-26,4952,2019-10-12,,,,,,,,,,,,,,,,,,,,,474,2020-08-29,496,2020-05-30,503,2021-05-22,634,2020-05-23,https://boardgamegeek.com/boardgame/226631
237031,D100 Dungeon,['Martin Knight'],[],2017,1,1,10,90,5,90,"['(Self-Published)', '(Web published)']","['Book', 'Dice', 'Fantasy', 'Print & Play']","['Category: Dungeon Crawler', 'Players: Games with Solitaire Rules', 'Players: Solitaire Only Games']","['Dice Rolling', 'Paper-and-Pencil', 'Role Playing', 'Solo / Solitaire Game']",,,,,2019-09-07,2814,2020-10-10,3095,2019-11-23,,,,,,,,,,,,,,,,,,,,,465,2020-09-19,499,2019-11-23,,,,,https://boardgamegeek.com/boardgame/237031
73863,Grimoire,['Hayato Kisaragi'],"['Matthias Catrein', 'Eckhard Freytag', 'Keita Komiyama', 'Shusaku Kondo']",2010,2,5,12,30,30,30,"['Arclight', 'Japon Brand', 'One Draw', 'Schmidt Spiele', 'Z-Man Games, Inc.']","['Card Game', 'Mythology']",['Theme: Anime / Manga'],"['Card Drafting', 'Set Collection', 'Simultaneous Action Selection']",,,,,2019-09-07,2444,2019-09-07,2884,2021-05-22,,,,,,,,,680,2019-09-07,808,2021-05-22,,,,,1102,2019-09-07,1269,2021-05-22,,,,,,,,,https://boardgamegeek.com/boardgame/73863
215308,Indulgence,"['G. W. ""Jerry"" D\'Arcey', 'Rob Daviau', 'Justin D. Jacobson']","['Chelsea Harper', 'Jason Taylor']",2017,3,4,14,60,40,60,['Restoration Games'],['Card Game'],[],['Trick-taking'],,,,,2019-09-07,2639,2019-09-07,2885,2021-04-17,,,,,,,,,683,2019-09-07,781,2021-05-22,,,,,1113,2019-09-07,1240,2021-05-08,,,,,,,,,https://boardgamegeek.com/boardgame/215308
68247,The Mines of Zavandor,['Alexander Pfister'],['Klemens Franz'],2010,2,4,10,90,45,90,"['Hobby Japan', 'Lookout Games', 'Z-Man Games, Inc.']",['Fantasy'],['Setting: Zavandor'],"['Auction/Bidding', 'Trading']",,,,,2019-09-07,2410,2019-09-07,2886,2021-05-22,,,,,,,,,,,,,,,,,1063,2019-09-07,1235,2021-05-22,,,,,,,,,https://boardgamegeek.com/boardgame/68247
943,Ligretto,['Michael Michaels'],['Michael Michaels'],1988,2,4,8,10,10,10,"['ASS Altenburger Spielkarten', 'Desyllas Games', 'Kaissa Chess & Games', 'Playroom Entertainment', 'Rosengarten', 'Schmidt Spiele', 'Tactic']","['Card Game', 'Real-time']",['Series: Ligretto (Schmidt Spiele)'],['Pattern Building'],,,,,2019-09-07,2556,2019-09-07,2887,2021-05-22,,,,,,,,,801,2019-09-07,930,2021-05-22,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/943
75547,Shipwrights of the North Sea,['Shem Phillips'],['Mihajlo Dimitrievski'],2014,2,5,10,60,60,60,"['Garphill Games', 'Renegade Game Studios', 'Schwerkraft-Verlag']","['Medieval', 'Nautical']","['Crowdfunding: Kickstarter', 'Series: The North Sea Trilogy (Garphill Games)', 'Theme: Vikings']","['Card Drafting', 'Commodity Speculation', 'Hand Management', 'Trading']",,,,,2019-09-07,2556,2019-10-26,2888,2021-05-22,,,,,,,,,,,,,,,,,1148,2019-10-26,1308,2021-05-22,,,,,,,,,https://boardgamegeek.com/boardgame/75547
256065,Carcassonne: Safari,['Klaus-Jürgen Wrede'],['Anne Heidsieck'],2018,2,5,7,35,35,35,"['Hans im Glück', '999 Games', 'Bard Centrum Gier', 'Brädspel.se', 'Devir', 'Hobby World', 'Lautapelit.fi', 'MINDOK', 'Piatnik', 'Swan Panasia Co., Ltd.', 'Z-Man Games, Inc.']","['Animals', 'City Building']","['Continents: Africa', 'Game: Carcassonne', 'Series: Carcassonne Around the World']",['Tile Placement'],,,,,2019-09-07,2889,2021-05-22,3297,2019-10-12,,,,,,,,,766,2021-05-08,813,2020-05-02,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/256065
245928,Pax Emancipation,['Phil Eklund'],"['Karim Chakroun', 'Johanna Pettersson']",2018,1,3,14,120,60,120,"['Sierra Madre Games', 'Ion Game Design']",['Age of Reason'],['Series: Pax (Sierra Madre Games)'],"['Action Points', 'Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'End Game Bonuses', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Variable Player Powers', 'Worker Placement']",,,,,2019-09-07,2889,2021-04-24,3413,2019-11-02,,,,,,,,,,,,,,,,,1192,2021-04-24,1251,2019-11-02,469,2020-07-11,502,2019-09-07,,,,,https://boardgamegeek.com/boardgame/245928
